Month,Cumulative Return,Ticker
January,0.409947839808541,BAJAJ-AUTO
January,0.24737236980842514,BEL
January,0.14650299958401458,BHARTIARTL
January,0.10885637464226461,M&M
January,0.4810202986334975,TRENT
February,0.42755571039461526,BAJAJ-AUTO
February,0.45136770017206573,BEL
February,0.13216934962491633,BHARTIARTL
February,0.24539840150087877,M&M
February,0.9113811359676816,TRENT
March,0.6227049642654798,BAJAJ-AUTO
March,0.40267227172299047,BEL
March,0.25685261726520414,BHARTIARTL
March,0.23679806928652591,M&M
March,0.9430357139488756,TRENT
April,0.6177545146163719,BAJAJ-AUTO
April,0.56017276258607,BEL
April,0.28740791220312256,BHARTIARTL
April,0.3513900614934333,M&M
April,1.1700533517617866,TRENT
May,0.6103674350956745,BAJAJ-AUTO
May,0.9120993356555032,BEL
May,0.3724440978307646,BHARTIARTL
May,0.5406516702687048,M&M
May,1.1428297985843048,TRENT
June,0.6208273962324555,BAJAJ-AUTO
June,0.7567876518688337,BEL
June,0.41917943945388236,BHARTIARTL
June,0.6434523966279264,M&M
June,1.404473693198507,TRENT
July,0.6202591965745381,BAJAJ-AUTO
July,0.728443650444029,BEL
July,0.4574466609157306,BHARTIARTL
July,0.5684579271721917,M&M
July,1.6254738092072771,TRENT
August,0.8531256090442136,BAJAJ-AUTO
August,0.6612886065160939,BEL
August,0.583522042369722,BHARTIARTL
August,0.5408106636417134,M&M
August,2.165472029695901,TRENT
September,1.0469691675018136,BAJAJ-AUTO
September,0.599753322902792,BEL
September,0.7045795694186643,BHARTIARTL
September,0.6910470362330892,M&M
September,2.341675994453509,TRENT
October,0.6599620457467017,BAJAJ-AUTO
October,0.7336093878317869,BEL
October,0.6206838765843579,BHARTIARTL
October,0.4287945361361707,M&M
October,2.263635353889137,TRENT
November,0.6587043054247306,BAJAJ-AUTO
November,0.7648884969242384,BEL
November,0.6262726084164165,BHARTIARTL
November,0.5496030270625838,M&M
November,2.055524713023883,TRENT
December,0.23046138542843964,BAJAJ-AUTO
December,0.22637761889113084,BEL
December,0.050990499558078994,BHARTIARTL
December,0.11742396343399997,M&M
December,0.41574581886824835,TRENT
