Month,Sum of Daily Return,Ticker
January,-0.07370457143909467,ADANIENT
January,-0.14582676186040522,ADANIPORTS
January,-0.08811845157035403,APOLLOHOSP
January,0.14940980091367537,ASIANPAINT
January,0.015101530902940268,AXISBANK
January,-0.12942469314624921,BAJAJ-AUTO
January,0.034620818298295095,BAJAJFINSV
January,0.0830601937947214,BAJFINANCE
January,0.01066533897268669,BEL
January,-0.12519017238215352,BHARTIARTL
January,-0.11396170636155145,BPCL
January,0.03463054758863977,BRITANNIA
January,-0.09821589748611374,CIPLA
January,-0.05697245617842031,COALINDIA
January,-0.026039569094181633,DRREDDY
January,0.028857682997234155,EICHERMOT
January,-0.0030281695210573646,GRASIM
January,-0.05787218429872378,HCLTECH
January,0.1530234158065197,HDFCBANK
January,0.10192540000941243,HDFCLIFE
January,-0.10499268834468599,HEROMOTOCO
January,0.06997064921923729,HINDALCO
January,0.0732181527966005,HINDUNILVR
January,-0.02370189380775976,ICICIBANK
January,0.04148503231615325,INDUSINDBK
January,-0.0614634709064829,INFY
January,0.05666387691014603,ITC
January,0.09287989585380538,JSWSTEEL
January,0.04839681238272361,KOTAKBANK
January,0.040130804627231925,LT
January,0.03303343126227645,M&M
January,-0.03187960211638495,MARUTI
January,0.10516116353845875,NESTLEIND
January,-0.03496365005744745,NTPC
January,-0.17871287207447012,ONGC
January,-0.10695083973557408,POWERGRID
January,-0.09246856858945293,RELIANCE
January,0.0032760098747680634,SBILIFE
January,-0.007342324551271833,SBIN
January,-0.1522134169838574,SHRIRAMFIN
January,-0.10775158820979519,SUNPHARMA
January,-0.04254215713221389,TATACONSUM
January,-0.10304744255719649,TATAMOTORS
January,0.040157406141846166,TATASTEEL
January,-0.00930221040921388,TCS
January,-0.006412397826852146,TECHM
January,0.01568265024818702,TITAN
January,-0.029820158251807196,TRENT
January,0.05598431417564376,ULTRACEMCO
January,0.016522518775000928,WIPRO
February,-0.04955995688206404,ADANIENT
February,-0.07892610062104621,ADANIPORTS
February,0.03639452768314144,APOLLOHOSP
February,0.03559081424080391,ASIANPAINT
February,-0.011189233265212144,AXISBANK
February,-0.045776344458754926,BAJAJ-AUTO
February,0.006981041492607703,BAJAJFINSV
February,0.027542794952868557,BAJFINANCE
February,-0.11025221151550806,BEL
February,0.0211632704564051,BHARTIARTL
February,-0.19088933699149807,BPCL
February,0.045601559456509136,BRITANNIA
February,-0.0566630456207113,CIPLA
February,-0.0853683412903242,COALINDIA
February,-0.03130224111758664,DRREDDY
February,0.026006489571796708,EICHERMOT
February,-0.05344440033619781,GRASIM
February,-0.03911952858184599,HCLTECH
February,0.025931991372225124,HDFCBANK
February,-0.0016687011929813356,HDFCLIFE
February,0.021269987354840477,HEROMOTOCO
February,0.10681041656255438,HINDALCO
February,0.026742792981460154,HINDUNILVR
February,-0.0563589810458389,ICICIBANK
February,0.012272568306137162,INDUSINDBK
February,0.0029381002434674605,INFY
February,0.08047470365043045,ITC
February,-0.03963991080318195,JSWSTEEL
February,0.0553691660536152,KOTAKBANK
February,-0.06420123380648139,LT
February,-0.1731490947772972,M&M
February,-0.08535724287707211,MARUTI
February,-0.05144904926488031,NESTLEIND
February,-0.061528382915978425,NTPC
February,-0.08425609794945463,ONGC
February,-0.07309211540347728,POWERGRID
February,-0.04370135373796584,RELIANCE
February,-0.07147065298436546,SBILIFE
February,-0.16762728808045776,SBIN
